#,Job Title,Company,Location,Experience,Salary,Skills,Posted Date,Link
"1","Urgent Opening For Quality Assurance Tester(Manual and Automation)","Agdova Technologies","Faridabad","2-7 Yrs","3-8 Lacs PA","Manual And Automation Testing, API Testing, QA Tools, Selenium, Assurance, Manual testing, API, Automation","1 day ago","https://www.naukri.com/job-listings-urgent-opening-for-quality-assurance-tester-manual-and-automation-agdova-technologies-faridabad-2-to-7-years-020626010200"
"2","Quality Assurance Engineer Test Automation","Transaction Network Services","Noida","2-6 Yrs","","save","3+ weeks ago","https://www.naukri.com/job-listings-quality-assurance-engineer-test-automation-transaction-network-services-inc-noida-2-to-6-years-250924506499"
"3","Amazon Connect Automation Consultant, Quality Assurance","Neuraflash India","Noida","2-6 Yrs","","IVR, Performance testing, SMS, SIP, Test cases, JIRA, cisco, Testing","2 weeks ago","https://www.naukri.com/job-listings-amazon-connect-automation-consultant-quality-assurance-neuraflash-india-pvt-ltd-noida-2-to-6-years-180526501438"
"4","Automation Quality Assurance Engineer","WalletHub","New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru","4-9 Yrs",", K","QA, Automation, Automation testing, Manual testing, Manager Quality Assurance, Credit monitoring, Selenium, Test cases","3+ weeks ago","https://www.naukri.com/job-listings-automation-quality-assurance-engineer-wallethub-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-9-years-151024501412"
"5","Senior Quality Assurance Automation Engineer","A2Global Consulting Pvt. Ltd.","Chandigarh","4-7 Yrs","","Playwright Automation, Python, Cucumber Framework, Bdd, Claude Code, Automation Testing, Assurance, Quality engineering","1 week ago","https://www.naukri.com/job-listings-senior-quality-assurance-automation-engineer-a2global-consulting-chandigarh-4-to-7-years-200526020028"
"6","Quality Assurance Engineer - Test Automation","Transaction Network Services","New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru","2-6 Yrs",", K","Unix, Telecom, Manager Quality Assurance, Linux, Testing tools, Agile, VOIP, Perl","3+ weeks ago","https://www.naukri.com/job-listings-quality-assurance-engineer-test-automation-transaction-network-services-inc-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-6-years-270524501324"
"7","Test Engineer","NEC Corporation","Noida","3-4 Yrs","","Manager Quality Assurance, Test scripts, Testing tools, Web testing, Javascript, Performance testing, Selenium, Test cases","1 day ago","https://www.naukri.com/job-listings-test-engineer-nec-corporation-noida-3-to-4-years-020626502008"
"8","QA Engineer (Manual + Automation Testing) vConstruct_ Noida","Vconstruct","Noida","4-6 Yrs","","Java, API Testing, Selenium, Postman, Playwright Automation, Manual Testing, JIRA, API","1 day ago","https://www.naukri.com/job-listings-qa-engineer-manual-automation-testing-vconstruct-noida-vconstruct-noida-4-to-6-years-020626007231"
"9","Sr. QA Engineer/ Pharma industry experience preferred","Bar Code India","Hybrid - Gurugram","4-6 Yrs","6-9 Lacs PA","Automation Testing, Manual Testing, QA, Web Application Testing, Functional testing, API Testing, Database Testing, Selenium","1 day ago","https://www.naukri.com/job-listings-sr-qa-engineer-pharma-industry-experience-preferred-bar-code-india-gurugram-4-to-6-years-060526013501"
"10","Python Automation Engineer","Bean Hr Consulting","Gurugram","4-6 Yrs","","save","1 day ago","https://www.naukri.com/job-listings-python-automation-engineer-bean-hr-consulting-gurugram-4-to-6-years-020626010603"
